Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/14/2023 	_x86_64_	(40 CPU)

01:30:01 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:21 PM 20001     16283   1225.00      0.00 16582188 3682832   1.87  python3
01:31:22 PM 20001     16283   1296.00      0.00 16583468 3725116   1.89  python3
01:31:23 PM 20001     16283   1173.00      0.00 16584492 3770928   1.92  python3
01:31:24 PM 20001     16283   1939.00      0.00 16585772 3814816   1.94  python3
01:31:25 PM 20001     16283   1323.00      0.00 16587052 3859548   1.96  python3
01:31:26 PM 20001     16283   1261.00      0.00 16588076 3902708   1.98  python3
01:31:27 PM 20001     16283   1305.00      0.00 16589356 3947768   2.01  python3
01:31:28 PM 20001     16283   4511.00      0.00 16594824 3993376   2.03  python3
01:31:29 PM 20001     16283   1208.00      0.00 16595848 4039388   2.05  python3
01:31:30 PM 20001     16283   2388.00      0.00 16597128 4081264   2.07  python3
01:31:31 PM 20001     16283   1155.00      0.00 16598408 4125576   2.10  python3
01:31:32 PM 20001     16283   1139.00      0.00 16599432 4170884   2.12  python3
01:31:33 PM 20001     16283   3540.00      0.00 16604020 4215844   2.14  python3
01:31:34 PM 20001     16283   1278.00      0.00 16605300 4260584   2.17  python3
01:31:35 PM 20001     16283   1209.00      0.00 16606324 4303756   2.19  python3
01:31:36 PM 20001     16283   1201.00      0.00 16607604 4348372   2.21  python3
01:31:37 PM 20001     16283   1278.00      0.00 16608884 4392924   2.23  python3
01:31:38 PM 20001     16283   1245.00      0.00 16609908 4435844   2.26  python3
01:31:39 PM 20001     16283   1284.00      0.00 16611188 4479564   2.28  python3
01:31:40 PM 20001     16283   2034.00      0.00 16612468 4524428   2.30  python3
01:31:41 PM 20001     16283   2920.00      0.00 16613492 4568224   2.32  python3
01:31:42 PM 20001     16283   2546.00      0.00 16616700 4614064   2.35  python3
01:31:43 PM 20001     16283   1932.00      0.00 16617724 4657248   2.37  python3
01:31:44 PM 20001     16283   1131.00      0.00 16619004 4700468   2.39  python3
01:31:45 PM 20001     16283   1187.00      0.00 16620284 4745040   2.41  python3
01:31:46 PM 20001     16283   1225.00      0.00 16621308 4787784   2.43  python3
01:31:47 PM 20001     16283   1319.00      0.00 16622588 4831968   2.46  python3
01:31:48 PM 20001     16283   1555.00      0.00 16623612 4875460   2.48  python3
01:31:49 PM 20001     16283   1125.00      0.00 16624892 4920028   2.50  python3
01:31:50 PM 20001     16283   2799.00      0.00 16625916 4964112   2.52  python3
01:31:51 PM 20001     16283   1217.00      0.00 16627196 5005604   2.54  python3
01:31:52 PM 20001     16283   1245.00      0.00 16628476 5050680   2.57  python3
01:31:53 PM 20001     16283   1171.00      0.00 16629500 5093616   2.59  python3
01:31:54 PM 20001     16283   1983.00      0.00 16630780 5137604   2.61  python3
01:31:55 PM 20001     16283   1151.00      0.00 16631804 5180908   2.63  python3
01:31:56 PM 20001     16283   1254.00      0.00 16633084 5223680   2.66  python3
01:31:57 PM 20001     16283  29637.00      0.00 16675068 5306224   2.70  python3
01:31:58 PM 20001     16283   3480.00      0.00 16681652 5349692   2.72  python3
01:31:59 PM 20001     16283   1040.00      0.00 16682676 5391140   2.74  python3
01:32:00 PM 20001     16283   5443.00      0.00 16688668 5444424   2.77  python3
01:32:01 PM 20001     16283   1206.00      0.00 16689692 5488484   2.79  python3
01:32:02 PM 20001     16283   1056.00      0.00 16690972 5530620   2.81  python3
01:32:03 PM 20001     16283   1065.00      0.00 16691996 5574552   2.83  python3
01:32:04 PM 20001     16283   1165.00      0.00 16693276 5618384   2.86  python3
01:32:05 PM 20001     16283   1146.00      0.00 16694300 5659672   2.88  python3
01:32:06 PM 20001     16283   1961.00      0.00 16695580 5703936   2.90  python3
01:32:07 PM 20001     16283   1348.00      0.00 16696604 5748052   2.92  python3
01:32:08 PM 20001     16283   1224.00      0.00 16697884 5789752   2.94  python3
01:32:09 PM 20001     16283   1209.00      0.00 16699164 5834608   2.97  python3
01:32:10 PM 20001     16283   1171.00      0.00 16700188 5875632   2.99  python3
01:32:11 PM 20001     16283   1301.00      0.00 16701468 5920428   3.01  python3
01:32:12 PM 20001     16283   3558.00      0.00 16707796 5962956   3.03  python3
01:32:13 PM 20001     16283   1165.00      0.00 16708820 6005020   3.05  python3
01:32:14 PM 20001     16283   1194.00      0.00 16710100 6048164   3.07  python3
01:32:15 PM 20001     16283   1558.00      0.00 16711124 6092224   3.10  python3
01:32:16 PM 20001     16283   3841.00      0.00 16713656 6139956   3.12  python3
01:32:17 PM 20001     16283   1242.00      0.00 16714680 6183756   3.14  python3
01:32:18 PM 20001     16283   1215.00      0.00 16715960 6225608   3.17  python3
01:32:19 PM 20001     16283   1390.00      0.00 16716984 6268968   3.19  python3
01:32:20 PM 20001     16283   1911.00      0.00 16718264 6311332   3.21  python3
01:32:21 PM 20001     16283   1199.00      0.00 16719288 6352948   3.23  python3
01:32:22 PM 20001     16283   1329.00      0.00 16720568 6395636   3.25  python3
01:32:23 PM 20001     16283   1199.00      0.00 16721592 6438544   3.27  python3
