Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/14/2023 	_x86_64_	(40 CPU)

03:59:15 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:00:37 PM 20001     18280   9977.00      0.00 26705688 11747920   5.97  python3
04:00:38 PM 20001     18280  12460.00      0.00 26743144 11889332   6.04  python3
04:00:39 PM 20001     18280  12836.00      0.00 26781448 12031376   6.12  python3
04:00:40 PM 20001     18280  12627.00      0.00 26820768 12165728   6.19  python3
04:00:41 PM 20001     18280   8683.00      0.00 26846960 12259848   6.23  python3
04:00:42 PM 20001     18280  12742.00      0.00 26884604 12396240   6.30  python3
04:00:43 PM 20001     18280  12612.00      0.00 26923104 12530104   6.37  python3
04:00:44 PM 20001     18280  13877.00      0.00 26965696 12680584   6.45  python3
04:00:45 PM 20001     18280  12292.00      0.00 27004404 12812116   6.51  python3
04:00:46 PM 20001     18280   7571.00      0.00 27027632 12893760   6.56  python3
04:00:47 PM 20001     18280  12469.00      0.00 27065436 13029584   6.62  python3
04:00:48 PM 20001     18280  12248.00      0.00 27103740 13153784   6.69  python3
04:00:49 PM 20001     18280  12735.00      0.00 27142832 13286064   6.75  python3
04:00:50 PM 20001     18280  12173.00      0.00 27180116 13412824   6.82  python3
04:00:51 PM 20001     18280  12880.00      0.00 27218968 13553344   6.89  python3
04:00:52 PM 20001     18280   7295.00      0.00 27241316 13627352   6.93  python3
04:00:53 PM 20001     18280  11849.00      0.00 27277664 13754216   6.99  python3
04:00:54 PM 20001     18280  12432.00      0.00 27315076 13881604   7.06  python3
04:00:55 PM 20001     18280  12676.00      0.00 27354012 14011208   7.12  python3
04:00:56 PM 20001     18280  12002.00      0.00 27391092 14138628   7.19  python3
04:00:57 PM 20001     18280  12510.00      0.00 27429408 14271936   7.26  python3
04:00:58 PM 20001     18280  12982.00      0.00 27468752 14411344   7.33  python3
04:00:59 PM 20001     18280  11798.00      0.00 27505388 14528544   7.39  python3
04:01:00 PM 20001     18280   5402.00      0.00 27522176 14584776   7.42  python3
04:01:01 PM 20001     18280  12389.00      0.00 27561408 14709840   7.48  python3
04:01:02 PM 20001     18280  11298.00      0.00 27598908 14817992   7.53  python3
04:01:03 PM 20001     18280  11867.00      0.00 27636568 14935368   7.59  python3
04:01:04 PM 20001     18280  12496.00      0.00 27675404 15063156   7.66  python3
04:01:05 PM 20001     18280  13322.00      0.00 27718096 15190516   7.72  python3
04:01:06 PM 20001     18280  12036.00      0.00 27756932 15313036   7.79  python3
04:01:07 PM 20001     18280  11976.00      0.00 27795236 15428868   7.84  python3
04:01:08 PM 20001     18280  11454.00      0.00 27831572 15543152   7.90  python3
04:01:09 PM 20001     18280  11733.00      0.00 27869640 15656976   7.96  python3
04:01:10 PM 20001     18280   3150.00      0.00 27880356 15685328   7.97  python3
04:01:11 PM 20001     18280  11853.00      0.00 27918032 15798864   8.03  python3
04:01:12 PM 20001     18280  11930.00      0.00 27956188 15913204   8.09  python3
04:01:13 PM 20001     18280  11972.00      0.00 27995296 16029104   8.15  python3
04:01:14 PM 20001     18280  11629.00      0.00 28034252 16133884   8.20  python3
04:01:15 PM 20001     18280  13250.00      0.00 26709708 7558264   3.84  python3
04:01:16 PM 20001     18280    504.00      0.00 26709708 8590656   4.37  python3
04:01:17 PM 20001     18280   1135.00      0.00 26709708 9653568   4.91  python3
