Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/15/2023 	_x86_64_	(40 CPU)

12:14:36 AM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:15:48 AM 20001     22776  10862.00      0.00 26460892 10806864   5.49  python3
12:15:49 AM 20001     22776  13175.00      0.00 26498532 10965112   5.57  python3
12:15:50 AM 20001     22776  13177.00      0.00 26536236 11123112   5.66  python3
12:15:51 AM 20001     22776  10741.00      0.00 26566464 11247960   5.72  python3
12:15:52 AM 20001     22776  12579.00      0.00 26603624 11398648   5.80  python3
12:15:53 AM 20001     22776  12629.00      0.00 26641644 11542840   5.87  python3
12:15:54 AM 20001     22776   9214.00      0.00 26669136 11647232   5.92  python3
12:15:55 AM 20001     22776  12795.00      0.00 26707856 11791520   5.99  python3
12:15:56 AM 20001     22776  12517.00      0.00 26745380 11935608   6.07  python3
12:15:57 AM 20001     22776  12510.00      0.00 26783084 12073932   6.14  python3
12:15:58 AM 20001     22776   8287.00      0.00 26808624 12162660   6.18  python3
12:15:59 AM 20001     22776  13107.00      0.00 26846536 12297584   6.25  python3
12:16:00 AM 20001     22776  14075.00      0.00 26884000 12437944   6.32  python3
12:16:01 AM 20001     22776  14024.00      0.00 26926160 12563920   6.39  python3
12:16:02 AM 20001     22776  14683.00      0.00 26961716 12699892   6.46  python3
12:16:03 AM 20001     22776  21395.00      0.00 26984540 12778396   6.50  python3
12:16:04 AM 20001     22776  14121.00      0.00 27021576 12903860   6.56  python3
12:16:05 AM 20001     22776  14535.00      0.00 27060396 13041400   6.63  python3
12:16:06 AM 20001     22776  13427.00      0.00 27098620 13165460   6.69  python3
12:16:07 AM 20001     22776  14305.00      0.00 27136524 13298572   6.76  python3
12:16:08 AM 20001     22776  13637.00      0.00 27174968 13432500   6.83  python3
12:16:09 AM 20001     22776  20841.00      0.00 27195632 13505512   6.87  python3
12:16:10 AM 20001     22776  17114.00      0.00 27235876 13637564   6.93  python3
12:16:11 AM 20001     22776  14547.00      0.00 27271400 13763612   7.00  python3
12:16:12 AM 20001     22776  15214.00      0.00 27309176 13889160   7.06  python3
12:16:13 AM 20001     22776  14864.00      0.00 27347608 14010692   7.12  python3
